glyph_name,ps_name,USV,sort_final,Status,Feat,Feat2
.notdef,.notdef,,0,Req,,
.null,.null,,1,Req,,
space,space,0020,3.1,ReqImport,,
exclam,exclam,0021,5.1,ReqImport,,
quotedbl,quotedbl,0022,6,ReqImport,,
numbersign,numbersign,0023,7.1,ReqImport,,
dollar,dollar,0024,8,ReqImport,,
percent,percent,0025,9.1,ReqImport,,
ampersand,ampersand,0026,10,Req,,
quotesingle,quotesingle,0027,11,Req,,
parenleft,parenleft,0028,12.1,ReqImport,,
parenright,parenright,0029,13.1,ReqImport,,
asterisk,asterisk,002A,14.1,ReqImport,,
plus,plus,002B,15.1,ReqImport,,
comma,comma,002C,16,ReqImport,,
hyphentwo,uni2010,2010,17,Req,,
hyphen,hyphen,002D,18.1,ReqImport,,
period,period,002E,19.1,ReqImport,,
period.latn,period.latn,,19.2,,,
slash,slash,002F,20.1,ReqImport,,
zero,zero,0030,30.1,,,
one,one,0031,30.2,,,
two,two,0032,30.3,,,
three,three,0033,30.4,,,
four,four,0034,30.5,,,
five,five,0035,30.6,,,
six,six,0036,30.7,,,
seven,seven,0037,30.8,,,
eight,eight,0038,30.9,,,
nine,nine,0039,30.91,,,
zero.cv02,zero.cv02,,31.0,,cv02=1,
one.cv02,one.cv02,,31.1,,cv02=1,
two.cv02,two.cv02,,32.1,,cv02=1,
three.cv02,three.cv02,,33.1,,cv02=1,
four.cv02,four.cv02,,34.1,,cv02=1,
five.cv02,five.cv02,,35.1,,cv02=1,
six.cv02,six.cv02,,36.1,,cv02=1,
seven.cv02,seven.cv02,,37.1,,cv02=1,
eight.cv02,eight.cv02,,38.1,,cv02=1,
nine.cv02,nine.cv02,,39.1,,cv02=1,
colon,colon,003A,40.1,ReqImport,,
colon.latn,colon.latn,,40.2,,,
semicolon,semicolon,003B,41,Req,,
less,less,003C,42.1,ReqImport,,
equal,equal,003D,43.1,ReqImport,,
greater,greater,003E,44.1,ReqImport,,
question,question,003F,45,Req,,
question.latn,question.latn,,45.1,,,
at,at,0040,46,Req,,
A,A,0041,50,Req,,
B,B,0042,51,Req,,
C,C,0043,52,Req,,
D,D,0044,53,Req,,
E,E,0045,54,Req,,
F,F,0046,55,Req,,
G,G,0047,56,Req,,
H,H,0048,57,Req,,
I,I,0049,58,Req,,
J,J,004A,59,Req,,
K,K,004B,60,Req,,
L,L,004C,61,Req,,
M,M,004D,62,Req,,
N,N,004E,63,Req,,
O,O,004F,64,Req,,
P,P,0050,65,Req,,
Q,Q,0051,66,Req,,
R,R,0052,67,Req,,
S,S,0053,68,Req,,
T,T,0054,69,Req,,
U,U,0055,70,Req,,
V,V,0056,71,Req,,
W,W,0057,72,Req,,
X,X,0058,73,Req,,
Y,Y,0059,74,Req,,
Z,Z,005A,75,Req,,
bracketleft,bracketleft,005B,76,Req,,
bracketright,bracketright,005D,77,Req,,
backslash,backslash,005C,78,Req,,
underscore,underscore,005F,79,Req,,
a,a,0061,80,Req,,
b,b,0062,81,Req,,
c,c,0063,82,Req,,
d,d,0064,83,Req,,
e,e,0065,84,Req,,
f,f,0066,85,Req,,
g,g,0067,86,Req,,
h,h,0068,87,Req,,
i,i,0069,88,Req,,
j,j,006A,89,Req,,
k,k,006B,90,Req,,
l,l,006C,91,Req,,
m,m,006D,92,Req,,
n,n,006E,93,Req,,
o,o,006F,94,Req,,
p,p,0070,95,Req,,
q,q,0071,96,Req,,
r,r,0072,97,Req,,
s,s,0073,98,Req,,
t,t,0074,99,Req,,
u,u,0075,100,Req,,
v,v,0076,101,Req,,
w,w,0077,102,Req,,
x,x,0078,103,Req,,
y,y,0079,104,Req,,
z,z,007A,105,Req,,
braceleft,braceleft,007B,110,Req,,
braceright,braceright,007D,111,Req,,
bar,bar,007C,112,Req,,
asciitilde,asciitilde,007E,113,Req,,
nbspace,uni00A0,00A0,114,ReqImport,,
exclamdown,exclamdown,00A1,115,Req,,
cent,cent,00A2,116,Req,,
sterling,sterling,00A3,117,Req,,
currency,currency,00A4,118,Req,,
yen,yen,00A5,119,Req,,
brokenbar,brokenbar,00A6,120,Req,,
section,section,00A7,121,Req,,
copyright,copyright,00A9,122,Req,,
registered,registered,00AE,123,Req,,
ordfeminine,ordfeminine,00AA,124,Req,,
guillemetleft,guillemotleft,00AB,125,Req,,
logicalnot,logicalnot,00AC,126,Req,,
softhyphen,uni00AD,00AD,127,Req,,
degree,degree,00B0,128,Req,,
plusminus,plusminus,00B1,129,Req,,
asciicircum,asciicircum,005E,130,Req,,
micro,mu,00B5,131,Req,,
paragraph,paragraph,00B6,132,Req,,
periodcentered,periodcentered,00B7,133,Req,,
ordmasculine,ordmasculine,00BA,134,Req,,
guillemetright,guillemotright,00BB,135,Req,,
onesuperior,uni00B9,00B9,136,Req,,
twosuperior,uni00B2,00B2,137,Req,,
threesuperior,uni00B3,00B3,138,Req,,
foursuperior,uni2074,2074,139,Needed for component,,
onehalf,onehalf,00BD,140,Req,,
onequarter,onequarter,00BC,141,Req,,
threequarters,threequarters,00BE,142,Req,,
questiondown,questiondown,00BF,143,Req,,
Agrave,Agrave,00C0,150,Req,,
Aacute,Aacute,00C1,151,Req,,
Acircumflex,Acircumflex,00C2,152,Req,,
Atilde,Atilde,00C3,153,Req,,
Adieresis,Adieresis,00C4,154,Req,,
Aring,Aring,00C5,155,Req,,
AE,AE,00C6,156,Req,,
Ccedilla,Ccedilla,00C7,157,Req,,
Egrave,Egrave,00C8,158,Req,,
Eacute,Eacute,00C9,159,Req,,
Ecircumflex,Ecircumflex,00CA,160,Req,,
Edieresis,Edieresis,00CB,161,Req,,
Igrave,Igrave,00CC,162,Req,,
Iacute,Iacute,00CD,163,Req,,
Icircumflex,Icircumflex,00CE,164,Req,,
Idieresis,Idieresis,00CF,165,Req,,
Eth,Eth,00D0,166,Req,,
Ntilde,Ntilde,00D1,167,Req,,
Ograve,Ograve,00D2,168,Req,,
Oacute,Oacute,00D3,169,Req,,
Ocircumflex,Ocircumflex,00D4,170,Req,,
Otilde,Otilde,00D5,171,Req,,
Odieresis,Odieresis,00D6,172,Req,,
multiply,multiply,00D7,173,Req,,
Oslash,Oslash,00D8,174,Req,,
Ugrave,Ugrave,00D9,175,Req,,
Uacute,Uacute,00DA,176,Req,,
Ucircumflex,Ucircumflex,00DB,177,Req,,
Udieresis,Udieresis,00DC,178,Req,,
Yacute,Yacute,00DD,179,Req,,
Thorn,Thorn,00DE,180,Req,,
germandbls,germandbls,00DF,181,Req,,
agrave,agrave,00E0,182,Req,,
aacute,aacute,00E1,183,Req,,
acircumflex,acircumflex,00E2,184,Req,,
atilde,atilde,00E3,185,Req,,
adieresis,adieresis,00E4,186,Req,,
aring,aring,00E5,187,Req,,
ae,ae,00E6,188,Req,,
ccedilla,ccedilla,00E7,189,Req,,
egrave,egrave,00E8,190,Req,,
eacute,eacute,00E9,191,Req,,
ecircumflex,ecircumflex,00EA,192,Req,,
edieresis,edieresis,00EB,193,Req,,
igrave,igrave,00EC,194,Req,,
iacute,iacute,00ED,195,Req,,
icircumflex,icircumflex,00EE,196,Req,,
idieresis,idieresis,00EF,197,Req,,
eth,eth,00F0,198,Req,,
ntilde,ntilde,00F1,199,Req,,
ograve,ograve,00F2,200,Req,,
oacute,oacute,00F3,201,Req,,
ocircumflex,ocircumflex,00F4,202,Req,,
otilde,otilde,00F5,203,Req,,
odieresis,odieresis,00F6,204,Req,,
divide,divide,00F7,205,Req,,
oslash,oslash,00F8,206,Req,,
ugrave,ugrave,00F9,207,Req,,
